antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'URLLength'}),frozenset({'URLSimilarityIndex'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'URLSimilarityIndex'}),frozenset({'URLLength'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'NoOfImage'}),frozenset({'URLLength'}),0.6381855050525019,1.0,0.6381855050525019,1.0,1.0,0.0,inf,0.0
frozenset({'NoOfJS'}),frozenset({'URLLength'}),0.6637727983913331,1.0,0.6637727983913331,1.0,1.0,0.0,inf,0.0
frozenset({'IsHTTPS'}),frozenset({'URLLength'}),0.7819488141165041,1.0,0.7819488141165041,1.0,1.0,0.0,inf,0.0
frozenset({'URLLength'}),frozenset({'IsHTTPS'}),1.0,0.7819488141165041,0.7819488141165041,0.7819488141165041,1.0,0.0,1.0,0.0
frozenset({'HasDescription'}),frozenset({'URLLength'}),0.4412085336165069,1.0,0.4412085336165069,1.0,1.0,0.0,inf,0.0
frozenset({'HasSocialNet'}),frozenset({'URLLength'}),0.4579278246281935,1.0,0.4579278246281935,1.0,1.0,0.0,inf,0.0
frozenset({'HasCopyrightInfo'}),frozenset({'URLLength'}),0.4876610502651928,1.0,0.4876610502651928,1.0,1.0,0.0,inf,0.0
frozenset({'label'}),frozenset({'URLLength'}),0.5732005580628216,1.0,0.5732005580628216,1.0,1.0,0.0,inf,0.0
frozenset({'NoOfImage'}),frozenset({'URLSimilarityIndex'}),0.6381855050525019,1.0,0.6381855050525019,1.0,1.0,0.0,inf,0.0
frozenset({'NoOfJS'}),frozenset({'URLSimilarityIndex'}),0.6637727983913331,1.0,0.6637727983913331,1.0,1.0,0.0,inf,0.0
frozenset({'IsHTTPS'}),frozenset({'URLSimilarityIndex'}),0.7819488141165041,1.0,0.7819488141165041,1.0,1.0,0.0,inf,0.0
frozenset({'URLSimilarityIndex'}),frozenset({'IsHTTPS'}),1.0,0.7819488141165041,0.7819488141165041,0.7819488141165041,1.0,0.0,1.0,0.0
frozenset({'HasDescription'}),frozenset({'URLSimilarityIndex'}),0.4412085336165069,1.0,0.4412085336165069,1.0,1.0,0.0,inf,0.0
frozenset({'HasSocialNet'}),frozenset({'URLSimilarityIndex'}),0.4579278246281935,1.0,0.4579278246281935,1.0,1.0,0.0,inf,0.0
frozenset({'HasCopyrightInfo'}),frozenset({'URLSimilarityIndex'}),0.4876610502651928,1.0,0.4876610502651928,1.0,1.0,0.0,inf,0.0
frozenset({'label'}),frozenset({'URLSimilarityIndex'}),0.5732005580628216,1.0,0.5732005580628216,1.0,1.0,0.0,inf,0.0
frozenset({'NoOfJS'}),frozenset({'NoOfImage'}),0.6637727983913331,0.6381855050525019,0.6088985037364226,0.9173297025911585,1.437402910797374,0.1852883251549372,4.376596024061268,0.905045269658752
frozenset({'NoOfImage'}),frozenset({'NoOfJS'}),0.6381855050525019,0.6637727983913331,0.6088985037364226,0.9541089525158207,1.437402910797374,0.1852883251549372,7.326640380666397,0.8410410378685349
