URLSimilarityIndex,HasSocialNet,NoOfJS,NoOfImage,HasDescription,IsHTTPS,label
60.0,0,0,0,0,0,0
60.0,0,0,0,0,0,0
60.0,0,0,0,0,0,0
60.0,0,0,0,0,0,0
60.0,0,0,0,0,0,0
60.0,0,0,0,0,0,0
68.0,0,0,0,0,0,0
82.5,0,1,0,0,0,0
82.5,0,0,0,0,0,0
68.0,0,0,0,0,0,0
68.0,0,0,0,0,0,0
68.0,0,0,0,0,0,0
68.0,0,0,0,0,0,0
68.0,0,0,0,0,0,0
68.0,0,0,0,0,0,0
68.0,0,0,0,0,0,0
68.0,0,1,0,0,0,0
68.0,0,0,0,0,0,0
68.0,0,0,0,0,0,0
68.0,0,0,0,0,0,0
68.0,0,1,0,0,0,0
68.0,0,0,0,0,0,0
68.0,0,1,0,0,0,0
68.0,0,0,0,0,0,0
69.84126984,0,0,0,0,0,0
71.42857143,0,0,0,0,0,0
73.01587302,0,0,0,0,0,0
73.01587302,0,0,0,0,0,0
73.01587302,0,0,0,0,0,0
77.33333333,0,0,0,0,0,0
77.33333333,0,0,0,0,0,0
77.33333333,0,1,1,0,0,0
79.16666667,0,0,0,0,0,0
82.5,0,0,0,0,0,0
82.5,0,0,0,0,0,0
85.33333333,0,0,0,0,0,0
85.33333333,0,0,0,0,0,0
85.33333333,0,0,0,0,0,0
85.33333333,0,0,0,0,0,0
85.33333333,0,0,0,0,0,0
85.33333333,0,0,0,1,0,0
85.33333333,0,1,0,0,0,0
85.33333333,0,0,0,0,0,0
85.33333333,0,0,0,0,0,0
85.33333333,0,0,0,0,0,0
85.33333333,0,0,0,0,0,0
85.33333333,0,0,0,0,0,0
100.0,0,0,0,0,0,0
100.0,0,0,0,0,0,0
55.55555556,0,0,0,0,0,0
57.14285714,0,0,0,0,0,0
63.49206349,0,0,0,0,0,0
63.49206349,0,0,0,0,0,0
66.66666667,0,0,0,0,0,0
66.66666667,0,0,0,0,0,0
68.25396825,0,0,0,0,0,0
69.84126984,0,0,0,0,0,0
69.84126984,0,0,0,0,0,0
69.84126984,0,0,0,0,0,0
70.18181818,0,0,0,0,0,0
73.01587302,0,0,0,0,0,0
73.01587302,0,0,0,0,0,0
76.53061224,0,0,0,0,0,0
77.28395062,0,0,0,0,0,0
77.33333333,0,0,0,0,0,0
77.33333333,0,2,4,0,0,0
77.33333333,0,0,0,0,0,0
79.75308642,0,0,0,0,1,0
80.95238095,0,0,0,0,0,0
80.95238095,0,0,0,0,0,0
80.95238095,0,0,0,0,0,0
80.95238095,0,0,0,0,0,0
82.53968254,0,0,0,0,0,0
82.53968254,0,0,1,0,0,0
82.53968254,0,0,0,0,0,0
82.53968254,0,0,0,0,0,0
82.53968254,0,0,0,0,0,0
82.53968254,0,0,0,0,0,0
82.53968254,0,0,0,0,0,0
85.33333333,0,0,0,0,0,0
85.33333333,0,0,0,0,0,0
85.71428571,0,0,0,0,0,0
85.71428571,0,0,0,0,0,0
85.71428571,0,0,0,0,0,0
85.71428571,0,0,0,0,0,0
87.3015873,0,0,0,0,0,0
87.3015873,0,0,0,0,0,0
87.3015873,0,0,0,0,0,0
87.3015873,0,0,0,0,0,0
87.3015873,0,0,0,0,0,0
87.3015873,0,0,0,0,0,0
87.3015873,0,0,0,0,0,0
100.0,1,11,47,1,1,1
100.0,0,11,29,0,1,1
100.0,0,0,0,0,0,0
100.0,1,37,36,1,1,1
100.0,1,16,64,0,1,1
100.0,1,11,27,1,1,1
100.0,0,20,27,0,1,1
100.0,1,35,25,0,1,1
100.0,1,17,8,0,1,1
100.0,1,17,29,1,1,1
100.0,0,0,0,0,0,0
100.0,1,24,1,0,1,1
100.0,0,0,0,0,0,0
100.0,0,0,0,0,0,0
100.0,1,14,33,1,1,1
100.0,1,47,18,1,1,1
100.0,1,7,35,1,1,1
100.0,1,9,8,0,1,1
100.0,1,15,20,1,1,1
100.0,1,20,28,1,1,1
100.0,1,8,191,1,1,1
100.0,0,9,59,1,1,1
100.0,1,39,50,1,1,1
48.88888889,0,0,0,0,1,0
48.88888889,0,0,0,0,0,0
49.38271605,0,0,0,0,1,0
49.38271605,0,0,0,0,1,0
52.0,0,0,0,0,0,0
52.72727273,0,0,0,0,0,0
55.55555556,0,0,0,0,1,0
57.5308642,0,0,0,0,0,0
57.5308642,0,0,0,0,0,0
58.67768595,0,0,0,0,0,0
58.67768595,0,0,0,0,0,0
59.01234568,0,2,0,0,1,0
62.18181818,0,0,0,0,0,0
62.24489796,0,0,0,0,0,0
62.24489796,0,0,0,0,0,0
62.24489796,0,1,0,0,0,0
62.54545455,0,0,0,0,1,0
63.08539945,0,0,0,0,0,0
63.49206349,0,0,0,0,0,0
66.66666667,0,0,0,0,0,0
67.21763085,0,0,0,0,0,0
67.52136752,0,0,0,0,0,0
67.70833333,0,2,1,0,0,0
68.25396825,0,0,0,0,0,0
69.62962963,0,0,0,0,1,0
69.62962963,0,0,0,0,0,0
70.40816327,0,2,0,1,0,0
70.40816327,0,0,0,0,0,0
71.42857143,0,0,0,0,0,0
71.42857143,0,0,0,0,0,0
71.42857143,0,0,0,0,0,0
71.42857143,0,0,0,0,0,0
72.44897959,0,0,0,0,0,0
72.44897959,0,1,0,0,0,0
73.01587302,0,0,0,0,0,0
73.01587302,0,0,0,0,0,0
73.46938776,0,0,0,0,0,0
73.46938776,0,0,1,0,0,0
73.46938776,0,0,0,0,0,0
73.46938776,0,0,0,0,0,0
73.81818182,0,0,0,0,0,0
74.46581197,0,0,0,0,0,0
74.48979592,0,0,0,0,0,0
74.48979592,0,0,0,0,0,0
74.48979592,0,0,0,0,0,0
74.48979592,0,0,0,0,0,0
74.48979592,0,0,0,0,0,0
74.48979592,0,0,0,0,0,0
74.48979592,0,0,0,0,0,0
74.48979592,0,0,0,0,0,0
75.69444444,0,0,0,0,0,0
76.17521368,0,14,0,0,0,0
76.53061224,0,0,0,0,0,0
76.53061224,0,1,0,0,0,0
76.53061224,0,0,0,0,0,0
